Scenario;Stand age (years);Action;Harvest type;Harvest criteria;Harvest severity (%);Trees to preserve (%)
BAU;30;Initialization;-;-;-;-
BAU;35;Execution;-;-;-;-
BAU;40;Execution;-;-;-;-
BAU;40;Thinning;Low thinning;Basal area;35;-
BAU;45;Execution;-;-;-;-
BAU;50;Execution;-;-;-;-
BAU;55;Execution;-;-;-;-
BAU;60;Execution;-;-;-;-
BAU;60;Thinning;Systematic thinning with future trees;Basal area;18;50
BAU;60;Thinning;Low thinning;Basal area;18;-
BAU;65;Execution;-;-;-;-
BAU;70;Execution;-;-;-;-
BAU;75;Execution;-;-;-;-
BAU;80;Execution;-;-;-;-
BAU;85;Execution;-;-;-;-
BAU;90;Execution;-;-;-;-
BAU;95;Execution;-;-;-;-
BAU;100;Execution;-;-;-;-
BAU;105;Execution;-;-;-;-
BAU;110;Execution;-;-;-;-
BAU;115;Execution;-;-;-;-
BAU;120;Execution;-;-;-;-
CARBON;30;Initialization;-;-;-;-
CARBON;30;Thinning;Systematic thinning;Basal area;11;-
CARBON;35;Execution;-;-;-;-
CARBON;40;Execution;-;-;-;-
CARBON;40;Thinning;Systematic thinning;Basal area;18;-
CARBON;45;Execution;-;-;-;-
CARBON;50;Execution;-;-;-;-
CARBON;50;Thinning;Systematic thinning;Basal area;31;-
CARBON;55;Execution;-;-;-;-
CARBON;60;Execution;-;-;-;-
CARBON;65;Execution;-;-;-;-
CARBON;65;Thinning;Systematic thinning;Basal area;20;-
CARBON;70;Execution;-;-;-;-
CARBON;75;Execution;-;-;-;-
CARBON;80;Execution;-;-;-;-
CARBON;80;Thinning;Systematic thinning;Basal area;20;-
CARBON;85;Execution;-;-;-;-
CARBON;90;Execution;-;-;-;-
CARBON;95;Execution;-;-;-;-
CARBON;95;Thinning;Systematic thinning;Basal area;20;-
CARBON;100;Execution;-;-;-;-
CARBON;105;Execution;-;-;-;-
CARBON;110;Execution;-;-;-;-
CARBON;110;Thinning;Systematic thinning;Basal area;20;-
CARBON;115;Execution;-;-;-;-
CARBON;120;Execution;-;-;-;-
CARBON;125;Execution;-;-;-;-
CARBON;125;Thinning;Systematic thinning;Basal area;20;-
CARBON;130;Execution;-;-;-;-
CARBON;135;Execution;-;-;-;-
CARBON;140;Execution;-;-;-;-
CONTROL;30;Initialization;-;-;-;-
CONTROL;35;Execution;-;-;-;-
CONTROL;40;Execution;-;-;-;-
CONTROL;45;Execution;-;-;-;-
CONTROL;50;Execution;-;-;-;-
CONTROL;55;Execution;-;-;-;-
CONTROL;60;Execution;-;-;-;-
CONTROL;65;Execution;-;-;-;-
CONTROL;70;Execution;-;-;-;-
CONTROL;75;Execution;-;-;-;-
CONTROL;80;Execution;-;-;-;-
CONTROL;85;Execution;-;-;-;-
CONTROL;90;Execution;-;-;-;-
CONTROL;95;Execution;-;-;-;-
CONTROL;100;Execution;-;-;-;-
CONTROL;105;Execution;-;-;-;-
CONTROL;110;Execution;-;-;-;-
CONTROL;115;Execution;-;-;-;-
